Identifier,Predicted EC Number
GCA_002847585.1_PKY95537.1_39_Actinomyces_naeslundii_513_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:6.3.5.7
GCA_002860685.1_PLB82087.1_36_Actinotignum_timonense_509_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:6.3.5.7
GCA_002847725.1_PKZ20744.1_44_Aerococcus_sanguinicola_492_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
GCA_002847765.1_PKZ16354.1_29_Alloscardovia_omnicolens_506_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002847745.1_PKZ16991.1_27_Anaerococcus_octavius_469_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:6.3.5.7
GCA_002858905.1_PLR66227.1_45_Bacillus_sp._UMB0893_496_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
GCA_002861445.1_PKY77916.1_28_Bifidobacterium_longum_513_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002861415.1_PKY70760.1_38_Brevibacterium_ravenspurgense_443_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
GCA_002847805.1_PKZ29912.1_26_Campylobacter_ureolyticus_450_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002861365.1_PLA27924.1_37_Corynebacterium_coyleae_359_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
