Identifier,Predicted EC Number
GCA_002847605.1_PKY80386.1_29_Pseudoglutamicibacter_albus_516_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002861065.1_PLB04707.1_32_Pseudomonas_aeruginosa_494_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:3.5.1.4
GCA_002861025.1_PLA18407.1_30_Rothia_dentocariosa_531_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:6.3.5.7
GCA_002847545.1_PKY66383.1_29_Schaalia_turicensis_501_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002884615.1_PMC17703.1_27_Staphylococcus_pettenkoferi_485_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002860785.1_PKZ94153.1_51_Streptococcus_salivarius_483_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
GCA_002860745.1_PKZ89559.1_30_Trueperella_bernardiae_498_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002848005.1_PLA52698.1_30_Varibaculum_cambriense_497_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002847925.1_PKZ93580.1_27_Veillonella_parvula_486_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002860625.1_PKY72194.1_29_Winkia_neuii_500_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
