Identifier,Predicted EC Number
GCA_002861085.1_PLA23573.1_31_Cutibacterium_acnes_468_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
GCA_002847685.1_PKZ09165.1_35_Dermabacter_hominis_501_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:6.3.5.7
GCA_002848105.1_PLA70960.1_37_Enterobacter_bugandensis_465_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.131
GCA_002861285.1_PKZ01497.1_51_Enterococcus_faecalis_482_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
GCA_002861185.1_PKY93381.1_39_Facklamia_hominis_673_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.99.5
GCA_002847645.1_PKY89520.1_46_Falseniella_ignava_502_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.13,EC:3.5.1.4
GCA_002861125.1_PKZ18985.1_28_Gardnerella_vaginalis_513_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:6.3.5.7
GCA_002847845.1_PKZ43269.1_33_Globicatella_sanguinis_416_ans81375_1_arylamidase__ochrobactrum_sp__pp_2__positive_control,EC:3.5.1.4
GCA_002847865.1_PKZ65816.1_38_Gordonia_terrae_492_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.4
GCA_002861845.1_PLA16723.1_37_Klebsiella_pneumoniae_465_pla55254_1_amidase__lacticaseibacillus_rhamnosus_ds,EC:3.5.1.131
